timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,wrist heart rate
2023-07-15T08:24:29.000Z,-33.857418,151.158694,105,0,1.59,25,0.00,2.398,21.2,0.00,105
2023-07-15T08:24:33.000Z,-33.857453,151.158756,108,0,8.48,25,0.00,1.586,21.2,0.00,108
2023-07-15T08:24:34.000Z,-33.857464,151.158769,108,0,10.24,25,0.00,1.586,21.4,0.00,108
2023-07-15T08:24:36.000Z,-33.857485,151.158826,108,100,16.05,25,0.50,9.555,21.6,0.00,108
2023-07-15T08:24:38.000Z,-33.857506,151.158924,109,100,25.37,25,0.50,10.049,21.8,0.00,109
2023-07-15T08:24:39.000Z,-33.857514,151.158981,110,100,30.75,25,0.50,10.049,22.0,0.00,110
2023-07-15T08:24:42.000Z,-33.857562,151.159234,112,102,54.74,25,0.00,9.947,22.4,0.00,112
2023-07-15T08:24:44.000Z,-33.857583,151.159378,113,102,68.26,25,0.00,9.965,23.6,0.00,113
2023-07-15T08:24:45.000Z,-33.857589,151.159430,114,102,73.06,25,0.00,7.315,24.0,0.00,114
2023-07-15T08:24:48.000Z,-33.857596,151.159602,117,98,89.08,25,0.50,6.028,24.6,0.00,117
2023-07-15T08:24:49.000Z,-33.857593,151.159668,117,98,95.13,25,0.50,5.888,24.8,0.00,117
2023-07-15T08:24:50.000Z,-33.857597,151.159733,117,99,101.22,25,0.00,5.804,24.8,0.00,117
2023-07-15T08:24:52.000Z,-33.857612,151.159878,122,99,114.68,25,0.00,6.149,24.8,0.00,122
2023-07-15T08:24:53.000Z,-33.857613,151.159950,124,99,121.33,25,0.00,6.149,24.8,0.00,124
2023-07-15T08:24:56.000Z,-33.857621,151.160143,129,99,139.25,25,0.00,6.009,25.0,0.00,129
2023-07-15T08:24:58.000Z,-33.857638,151.160267,132,98,150.88,25,0.50,6.214,25.4,0.00,132
2023-07-15T08:25:01.000Z,-33.857661,151.160427,136,93,165.88,25,0.50,5.710,25.8,0.00,136
2023-07-15T08:25:02.000Z,-33.857680,151.160475,136,93,170.71,25,0.00,5.608,26.0,0.00,136
2023-07-15T08:25:04.000Z,-33.857723,151.160560,139,91,179.98,25,0.00,4.899,26.2,0.00,139
2023-07-15T08:25:05.000Z,-33.857748,151.160599,138,90,184.59,25,0.00,4.787,26.2,0.00,138
2023-07-15T08:25:06.000Z,-33.857785,151.160635,141,90,189.81,25,0.00,4.740,26.2,0.00,141
2023-07-15T08:25:07.000Z,-33.857831,151.160661,142,90,195.33,25,0.00,4.740,26.2,0.00,142
2023-07-15T08:25:10.000Z,-33.857975,151.160769,144,90,214.18,25,0.00,4.880,26.2,0.00,144
2023-07-15T08:25:13.000Z,-33.858101,151.160864,147,92,230.72,25,0.00,5.067,26.0,,147
2023-07-15T08:25:16.000Z,-33.858221,151.160972,148,91,247.34,25,0.00,5.169,26.2,,148
2023-07-15T08:25:20.000Z,-33.858381,151.161097,149,92,268.52,25,0.00,5.207,26.0,0.00,149
2023-07-15T08:25:22.000Z,-33.858459,151.161168,154,92,279.32,25,0.00,5.197,26.0,0.00,154
2023-07-15T08:25:25.000Z,-33.858578,151.161272,159,92,295.69,25,0.00,5.197,25.8,0.00,159
2023-07-15T08:25:27.000Z,-33.858663,151.161335,165,92,306.71,25,0.00,5.207,25.6,0.00,165
2023-07-15T08:25:28.000Z,-33.858702,151.161367,168,92,312.04,25,0.00,5.225,25.6,0.00,168
2023-07-15T08:25:30.000Z,-33.858777,151.161440,171,92,322.76,25,0.00,5.253,26.0,0.00,171
2023-07-15T08:25:34.000Z,-33.858919,151.161587,172,91,343.51,25,0.00,5.337,26.4,0.00,172
2023-07-15T08:25:35.000Z,-33.858955,151.161625,172,91,348.78,25,0.00,5.337,26.4,0.00,172
2023-07-15T08:25:39.000Z,-33.859097,151.161772,172,90,369.60,25,0.00,5.300,26.0,0.00,172
2023-07-15T08:25:43.000Z,-33.859234,151.161929,172,91,390.66,25,0.00,5.300,25.8,0.00,172
2023-07-15T08:25:45.000Z,-33.859300,151.162005,172,91,400.88,25,0.00,5.309,25.6,0.00,172
2023-07-15T08:25:50.000Z,-33.859473,151.162176,172,90,425.67,25,0.00,5.281,25.6,0.00,172
2023-07-15T08:25:55.000Z,-33.859633,151.162363,172,90,450.48,25,0.00,5.225,25.4,0.00,172
2023-07-15T08:26:00.000Z,-33.859787,151.162550,172,89,474.75,25,0.50,5.207,25.0,0.00,172
2023-07-15T08:26:03.000Z,-33.859879,151.162654,172,89,488.84,25,0.50,5.188,25.4,0.00,172
2023-07-15T08:26:08.000Z,-33.860013,151.162850,171,90,512.26,24,0.00,5.151,24.6,0.00,171
2023-07-15T08:26:12.000Z,-33.860136,151.163017,171,88,532.91,24,0.00,5.095,24.6,0.00,171
2023-07-15T08:26:17.000Z,-33.860274,151.163222,172,86,557.20,25,0.50,4.703,24.8,0.00,172
2023-07-15T08:26:19.000Z,-33.860327,151.163304,172,87,566.83,24,0.00,4.768,24.6,0.00,172
2023-07-15T08:26:24.000Z,-33.860467,151.163498,172,87,590.53,24,0.00,4.927,24.6,0.00,172
2023-07-15T08:26:27.000Z,-33.860532,151.163604,171,87,602.76,24,0.00,4.917,24.6,0.00,171
2023-07-15T08:26:32.000Z,-33.860646,151.163796,171,85,624.51,24,0.50,4.833,24.4,0.00,171
2023-07-15T08:26:34.000Z,-33.860692,151.163869,171,86,632.96,24,0.50,4.768,24.4,0.00,171
2023-07-15T08:26:35.000Z,-33.860719,151.163903,172,86,637.31,24,0.50,4.749,24.4,0.00,172
2023-07-15T08:26:37.000Z,-33.860760,151.163975,173,86,645.41,24,0.50,4.731,24.4,0.00,173
2023-07-15T08:26:38.000Z,-33.860776,151.164015,173,86,649.55,24,0.50,4.703,24.4,0.00,173
2023-07-15T08:26:43.000Z,-33.860894,151.164183,172,85,669.81,24,0.50,4.507,24.2,0.00,172
2023-07-15T08:26:45.000Z,-33.860925,151.164235,172,85,675.74,24,0.00,4.152,24.2,0.00,172
