timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1074126459,-403935334,1803389689,88,0,0,31,0,0,2578,0,,108,88
1074126460,,,88,0,0,30,0,0,2578,0,,108,88
1074126461,-403935449,1803390433,87,0,0,31,0,0,2654,881,,129,87
1074126463,-403936459,1803388525,89,0,1185,31,0,0,2577,,,147,89
1074126464,-403937282,1803387871,88,97,1297,31,64,5673,2577,,,162,88
1074126466,-403936687,1803386979,91,99,2196,31,0,5794,2576,0,,176,91
1074126468,-403935747,1803385924,97,100,3392,31,64,5664,2572,0,,176,97
1074126469,-403935329,1803385469,100,101,3906,31,0,5654,2571,0,,176,100
1074126470,-403934803,1803384924,103,102,4546,31,64,5552,2570,,,176,103
1074126471,-403934065,1803384587,105,102,5260,31,64,5552,2569,,,176,105
1074126473,-403932652,1803383753,109,102,6723,31,0,5412,2567,,,176,109
1074126474,-403931849,1803383407,110,101,7512,31,0,5365,2566,,,176,110
1074126475,-403931052,1803383062,113,101,8288,31,0,5141,2566,,,176,113
1074126476,-403930383,1803382535,115,101,9032,31,0,5085,2565,,,176,115
1074126478,-403929682,1803381561,119,100,10043,31,0,5001,2562,,,176,119
1074126481,-403929830,1803379960,125,97,11252,31,64,4880,2562,0,,176,125
1074126482,-403929812,1803379347,124,97,11722,31,64,4824,2562,0,,176,124
1074126483,-403929792,1803378728,127,97,12195,31,64,4749,2563,0,,176,127
1074126485,-403929685,1803377467,128,98,13174,31,64,4684,2565,0,,176,128
1074126487,-403929698,1803376086,129,98,14245,31,64,4693,2567,0,,176,129
1074126488,-403929784,1803375354,128,97,14818,31,64,4731,2567,0,,176,128
1074126490,-403930362,1803374169,130,96,15900,31,0,4712,2566,0,,176,130
1074126491,-403930648,1803373518,136,95,16470,31,64,4693,2566,0,,176,136
1074126492,-403930823,1803372869,136,94,16995,31,64,4675,2566,0,,176,136
1074126494,-403930862,1803371534,141,93,18037,31,64,4600,2565,894,,176,141
1074126495,-403930681,1803370785,141,93,18631,31,64,4581,2565,0,,176,141
1074126496,-403930619,1803370040,145,93,19197,31,64,4581,2565,0,,176,145
1074126498,-403930784,1803368887,148,94,20105,31,64,4581,2566,0,,176,148
1074126500,-403931228,1803368084,153,95,20851,31,64,4367,2566,0,,176,153
1074126501,-403931601,1803367861,153,94,21238,31,64,4255,2567,0,,176,153
1074126503,-403932563,1803367696,157,93,22144,31,64,4189,2567,0,,176,157
1074126504,-403933075,1803367655,161,93,22620,31,64,4199,2567,0,,176,161
1074126506,-403934169,1803367465,164,91,23648,31,64,4227,2567,0,,88,164
1074126510,-403936351,1803367437,166,91,25682,31,64,4227,2566,0,,44,166
1074126512,-403937547,1803367659,166,91,26807,31,64,4189,2565,0,,44,166
1074126516,-403939716,1803367813,166,90,28827,31,64,4227,2563,0,,44,166
1074126520,-403942018,1803367538,166,90,30978,31,64,4227,2561,0,,44,166
1074126524,-403944308,1803367915,166,91,33128,31,64,4208,2558,894,,44,166
1074126526,-403945084,1803368119,166,92,33865,31,64,4161,2556,894,,44,166
1074126530,-403947285,1803368547,167,90,35937,31,64,4292,2554,0,,18,167
1074126533,-403948810,1803368681,168,89,37359,31,64,4404,2554,0,,25,168
1074126538,-403951337,1803368986,168,91,39720,31,64,4553,2553,0,,25,168
1074126540,-403952052,1803369138,168,91,40395,31,64,4553,2553,0,,25,168
1074126545,-403954546,1803369448,169,91,42727,30,64,4507,2554,,,18,169
1074126546,-403955027,1803369452,169,92,43173,31,64,4507,2554,,,18,169
1074126549,-403956255,1803369061,170,92,44364,31,64,4488,2553,,,7,170
1074126550,-403956582,1803368761,170,92,44747,30,64,4413,2552,,,7,170
