timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,,wrist heart rate
1084750604,-403940532,1803415337,106,0,90,23,0,0,2526,,176,106
1084750605,-403940602,1803415425,106,0,176,23,0,0,2526,0,176,106
1084750609,-403941192,1803415646,106,0,776,23,0,252,2526,0,176,106
1084750614,-403943466,1803417652,106,104,3418,23,64,5785,2522,0,176,106
1084750615,-403944052,1803418147,107,104,4082,23,64,6168,2522,0,176,107
1084750618,-403945915,1803419553,110,104,6128,23,0,6354,2523,0,176,110
1084750619,-403946523,1803420036,112,104,6807,23,64,6373,2523,0,176,112
1084750621,-403947710,1803421149,115,104,8209,23,64,6392,2524,0,176,115
1084750624,-403949207,1803422752,118,103,10075,23,0,6476,2523,0,176,118
1084750625,-403949725,1803423217,118,103,10677,23,0,6476,2523,0,176,118
1084750628,-403951349,1803424456,121,99,12468,23,64,6485,2523,0,176,121
1084750630,-403952284,1803425323,125,99,13567,23,64,6466,2523,0,176,125
1084750631,-403952763,1803425772,127,99,14132,23,64,6466,2524,0,176,127
1084750633,-403953658,1803426850,130,99,15310,23,64,6438,2524,0,176,130
1084750636,-403955139,1803428509,134,98,17194,23,64,6382,2525,0,176,134
1084750638,-403955923,1803429642,136,98,18336,23,64,6345,2524,894,176,136
1084750640,-403956861,1803430645,137,97,19500,23,64,6317,2524,0,176,137
1084750644,-403958763,1803432316,139,97,21689,23,64,6270,2525,0,176,139
1084750648,-403960484,1803434486,140,96,24013,22,0,6289,2524,0,176,140
1084750649,-403960937,1803434993,140,96,24589,22,0,6308,2525,0,176,140
1084750653,-403962580,1803436888,140,96,26708,22,0,6317,2524,0,176,140
1084750654,-403962960,1803437417,144,96,27250,22,0,6298,2524,0,176,144
1084750657,-403964160,1803439020,145,96,28920,22,0,6233,2524,0,176,145
1084750661,-403965645,1803441158,145,97,31079,22,64,6130,2523,894,176,145
1084750665,-403967261,1803443158,145,97,33226,22,64,6018,2523,0,176,145
1084750669,-403968793,1803445111,146,95,35298,22,0,5860,2524,,176,146
1084750673,-403970142,1803447231,147,95,37363,22,0,5701,2524,,176,147
1084750677,-403971611,1803449276,147,95,39456,22,0,5570,2523,0,176,147
1084750680,-403972632,1803450829,148,95,40985,22,0,5533,2523,0,176,148
1084750682,-403973162,1803451830,149,95,41903,22,0,5524,2523,0,176,149
1084750684,-403973730,1803452690,150,95,42748,22,0,5402,2523,0,176,150
