timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,km/hr speed,time/km,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1084944752,,,84,0,0,20,0,0,0,,2634,0,,176,84
1084944755,,,81,0,0,20,0,0,0,,2633,894,,176,81
1084944760,,,78,77,196,20,0,1959,7.0524,8.507742045,2633,894,,162,78
1084944765,,,82,77,786,20,64,1959,7.0524,8.507742045,2635,,,147,82
1084944767,-403893545,1803370736,86,78,983,20,0,1969,7.0884,8.464533604,2637,,,147,86
1084944769,-403893333,1803371345,89,78,983,20,0,2043,7.3548,8.157937673,2638,,,176,89
1084944771,-403894073,1803369000,93,77,1034,20,64,1857,6.6852,8.975049363,2641,0,,176,93
1084944775,-403895069,1803369303,100,75,1920,20,64,1857,6.6852,8.975049363,2641,0,,176,100
1084944777,-403895511,1803369294,103,75,2256,21,64,1810,6.516,9.208103131,2642,0,,176,103
1084944778,-403895719,1803369422,105,76,2473,20,64,1810,6.516,9.208103131,2643,0,,176,105
1084944779,-403895951,1803369518,108,77,2695,20,64,1810,6.516,9.208103131,2643,0,,176,108
1084944780,-403896125,1803369595,108,78,2863,20,64,1913,6.8868,8.712319219,2644,0,,176,108
1084944782,-403896587,1803369846,111,79,3331,21,64,2081,7.4916,8.008970046,2645,0,,176,111
1084944784,-403896992,1803370122,115,79,3765,21,0,2081,7.4916,8.008970046,2646,0,,176,115
1084944786,-403897371,1803370542,119,77,4234,21,64,2099,7.5564,7.940289027,2647,0,,176,119
1084944787,-403897526,1803370738,123,77,4441,21,64,2099,7.5564,7.940289027,2648,0,,176,123
1084944789,-403897936,1803371131,127,77,4929,21,64,2099,7.5564,7.940289027,2650,0,,88,127
1084944792,-403898563,1803371749,129,78,5684,21,64,2165,7.794,7.698229407,2652,0,,57,129
1084944794,-403898893,1803371996,129,80,6046,21,0,2183,7.8588,7.634753397,2653,888,,57,129
1084944801,-403900271,1803373282,130,81,7674,21,0,2286,8.2296,7.290755322,2656,0,,32,130
1084944807,-403901148,1803374253,133,81,8768,21,0,2305,8.298,7.23065799,2655,0,,44,133
