Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,State
0boS4e6uXwp3zAvz1mLxZS,44TGR1CzjKBxSHsSEy7bi9,Run Boy Run,The Golden Age,Woodkid,1/01/2013,213266.0,65.0,spotify:user:jadstar7,2023-08-12T13:25:15Z,chamber pop,0.506,0.959,5.0,-5.264,0.0,0.102,0.084,0.000655,0.135,0.34,133.996,4.0,FALLOFF
1Ek1oOZaKFPYsa4ri0yu4u,5Grq5bIeD9Vw6JyBiobSdA,ノーボーイ・ノークライ,ノーボーイ・ノークライ,STANCE PUNKS,1/04/2005,214066.0,42.0,spotify:user:jadstar7,2023-08-12T13:29:23Z,"j-punk,japanese punk rock",0.391,0.997,7.0,0.47,1.0,0.0752,0.0082,0.0,0.141,0.111,99.889,4.0,WARMUP
3eSVrnXol6ULFAqWUKS6QA,0fcQm3RnOXaVsvKtnRp2K8,Save Me - Extended,Eurobeat Sound Tracks,Leslie Parrish,1/06/2019,338156.0,41.0,spotify:user:jadstar7,2023-08-12T13:25:25Z,"eurobeat,super eurobeat",0.44,0.938,10.0,-7.05,0.0,0.04,2.04e-05,0.000333,0.333,0.699,155.767,4.0,WARMUP
0OwP88m46SzRRKeXgciYrb,5qVBMUGPLZJlWqeLgKrs4U,Civil Sin,Civilian,Boy Kill Boy,1/01/2006,234373.0,20.0,spotify:user:jadstar7,2023-08-12T13:25:47Z,british indie rock,0.304,0.931,9.0,-3.026,0.0,0.0615,1.72e-05,0.0,0.271,0.36,162.873,4.0,WARMUP
2uzyiRdvfNI5WxUiItv1y9,0ifzzRKdmtgaHy9cfnnyCR,Hocus Pocus,The Best Of Focus / Hocus Pocus (Incl WC 2010 Version of 'Hocus Pocus'),Focus,2001,402866.0,44.0,spotify:user:jadstar7,2023-08-12T13:25:50Z,"art rock,dutch prog,flute rock,nederpop,progressive rock,symphonic rock",0.262,0.818,2.0,-5.538,1.0,0.152,0.0218,0.916,0.276,0.395,183.629,4.0,TEMPO
40bm28QcJT5My540ymSQ2y,1dIdBZaaHRW2bDTkHNfWln,Untouched,Hook Me Up,The Veronicas,2005,255360.0,54.0,spotify:user:jadstar7,2023-08-12T13:25:58Z,"australian pop,candy pop,dance pop,girl group,post-teen pop",0.557,0.783,6.0,-4.893,0.0,0.234,0.0171,0.0172,0.151,0.442,177.008,4.0,WARMUP
4PADjYad8rmbNA9DBRuVue,7sCcPQQft3sSxcJaB30dlb,Vitriol,Retrospectable,Bluejuice,22/09/2014,149386.0,0.0,spotify:user:jadstar7,2023-08-12T13:26:27Z,"australian alternative rock,australian indie",0.565,0.941,8.0,-3.742,1.0,0.0752,0.00329,0.0,0.0433,0.965,170.1,4.0,WARMUP
0dt2bECwIUEzWppQLeUqG6,0Ya43ZKWHTKkAbkoJJkwIB,Tokyo (Vampires & Wolves),The Wombats Proudly Present... This Modern Glitch (10th Anniversary Edition),The Wombats,2011,225526.0,47.0,spotify:user:jadstar7,2023-08-12T13:26:55Z,"liverpool indie,modern alternative rock,modern rock",0.456,0.911,0.0,-5.52,1.0,0.0749,0.000898,0.0,0.37,0.572,146.4,4.0,WARMUP
6QgjcU0zLnzq5OrUoSZ3OK,4kI8Ie27vjvonwaB2ePh8T,Feel It Still,Woodstock,Portugal. The Man,16/06/2017,163253.0,73.0,spotify:user:jadstar7,2023-08-12T13:27:15Z,"indie rock,indietronica,modern alternative rock,modern rock",0.801,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4.0,RECOVER
4ECvB9frSDegHfKNRh9dwT,1dIdBZaaHRW2bDTkHNfWln,4ever,The Secret Life Of...,The Veronicas,18/10/2005,208973.0,48.0,spotify:user:jadstar7,2023-08-12T13:27:55Z,"australian pop,candy pop,dance pop,girl group,post-teen pop",0.581,0.857,5.0,-2.21,0.0,0.0627,0.00168,0.000166,0.0967,0.565,145.941,4.0,FALLOFF
